101,Harsh Kumar,Delhi,2026-01-05,Electronics,45000.00
102,Rohan Sharma,Noida,2026-01-07,Clothing,3500.00
103,Aman Verma,Gurugram,2026-01-10,Electronics,22000.00
104,Priya Singh,Delhi,2026-01-12,Home Appliances,8500.00
105,Neha Gupta,Faridabad,2026-01-15,Electronics,12000.00
106,Vikram Mehta,Noida,2026-01-18,Clothing,1500.00
107,Ankit Saxena,Delhi,2026-01-20,Footwear,4500.00
108,Pooja Joshi,Gurugram,2026-01-22,Electronics,55000.00
109,Rahul Kumar,Ghaziabad,2026-01-25,Home Appliances,6200.00
110,Sanya Malhotra,Delhi,2026-01-28,Clothing,2800.00
111,Karan Patel,Noida,2026-02-01,Electronics,18500.00
112,Simran Kaur,Delhi,2026-02-03,Footwear,3200.00
113,Amit Roy,Gurugram,2026-02-05,Home Appliances,14000.00
114,Harsh Kumar,Delhi,2026-02-08,Clothing,4200.00
115,Saurabh Jain,Delhi,2026-02-10,Electronics,65000.00
116,Deepak Verma,Noida,2026-02-12,Clothing,2100.00
117,Kavita Yadav,Ghaziabad,2026-02-15,Electronics,9500.00
118,Manish Tiwari,Gurugram,2026-02-18,Home Appliances,11000.00
119,Nidhi Agarwal,Delhi,2026-02-20,Footwear,5000.00
120,Gaurav Mishra,Noida,2026-02-22,Electronics,31000.00
121,Shweta Pandey,Delhi,2026-03-01,Clothing,1800.00
122,Varun Chopra,Gurugram,2026-03-03,Home Appliances,7800.00
123,Megha Sen,Faridabad,2026-03-05,Electronics,27000.00
124,Ashish Kumar,Ghaziabad,2026-03-08,Footwear,3900.00
125,Divya Bansal,Delhi,2026-03-10,Clothing,5400.00
126,Siddharth Rao,Noida,2026-03-12,Electronics,48000.00
127,Tanya Rastogi,Gurugram,2026-03-15,Home Appliances,13500.00
128,Alok Nath,Delhi,2026-03-18,Electronics,16000.00
129,Preeti Deshmukh,Faridabad,2026-03-20,Clothing,2900.00
130,Abhinav Shukla,Noida,2026-03-22,Footwear,6100.00
131,Kiran Bedi,Delhi,2026-04-01,Electronics,72000.00
132,Rajat Bhatia,Ghaziabad,2026-04-03,Home Appliances,9000.00
133,Sneha Kapoor,Gurugram,2026-04-05,Clothing,3100.00
134,Mohit Malhotra,Delhi,2026-04-08,Electronics,19000.00
135,Bhavna Sharma,Noida,2026-04-10,Footwear,2400.00
136,Yash Vardhan,Faridabad,2026-04-12,Home Appliances,15500.00
137,Aakanksha Sethi,Delhi,2026-04-15,Electronics,38000.00
138,Chirag Paswan,Gurugram,2026-04-18,Clothing,4700.00
139,Garima Arora,Ghaziabad,2026-04-20,Electronics,23000.00
140,Nitin Gadkari,Noida,2026-04-22,Footwear,1800.00
141,Pallavi Shinde,Delhi,2026-05-01,Home Appliances,10500.00
142,Tarun Khurana,Gurugram,2026-05-03,Electronics,51000.00
143,Isha Talwar,Faridabad,2026-05-05,Clothing,2600.00
144,Mayank Agarwal,Delhi,2026-05-08,Footwear,4100.00
145,Richa Chadda,Noida,2026-05-10,Electronics,29000.00
146,Kunwar Singh,Ghaziabad,2026-05-12,Home Appliances,8200.00
147,Srishti Dixit,Delhi,2026-05-15,Clothing,3800.00
148,Hemant Soren,Gurugram,2026-05-18,Electronics,61000.00
149,Komalpreet Kaur,Faridabad,2026-05-20,Footwear,3300.00
150,Prateek Kuhad,Delhi,2026-05-22,Home Appliances,12500.00
